time,instrument,period,high,low,open,close
2012-07-08 18:05:00,6A,5,1.0127,1.0117,1.0118,1.0126
2012-07-08 18:10:00,6A,5,1.0129,1.0126,1.0126,1.0128
2012-07-08 18:15:00,6A,5,1.0133,1.0129,1.0129,1.0132
2012-07-08 18:20:00,6A,5,1.0137,1.0132,1.0132,1.0137
2012-07-08 18:25:00,6A,5,1.0138,1.0135,1.0136,1.0136
2012-07-08 18:30:00,6A,5,1.0136,1.0135,1.0136,1.0136
2012-07-08 18:35:00,6A,5,1.0138,1.0136,1.0136,1.0137
2012-07-08 18:40:00,6A,5,1.0137,1.0133,1.0137,1.0135
2012-07-08 18:45:00,6A,5,1.0142,1.0135,1.0135,1.014
2012-07-08 18:50:00,6A,5,1.0142,1.0139,1.0139,1.0142
2012-07-08 18:55:00,6A,5,1.0144,1.014,1.0141,1.0142
2012-07-08 19:00:00,6A,5,1.0147,1.0142,1.0142,1.0146
2012-07-08 19:05:00,6A,5,1.0145,1.014,1.0145,1.014
2012-07-08 19:10:00,6A,5,1.0141,1.0138,1.0141,1.0139
2012-07-08 19:15:00,6A,5,1.0138,1.0136,1.0138,1.0137
2012-07-08 19:20:00,6A,5,1.0137,1.0133,1.0137,1.0134
2012-07-08 19:25:00,6A,5,1.0133,1.0124,1.0133,1.0129
2012-07-08 19:30:00,6A,5,1.0131,1.0121,1.0128,1.0122
2012-07-08 19:35:00,6A,5,1.0126,1.012,1.0122,1.0125
2012-07-08 19:40:00,6A,5,1.0125,1.0122,1.0124,1.0123
2012-07-08 19:45:00,6A,5,1.0131,1.0122,1.0123,1.013
2012-07-08 19:50:00,6A,5,1.013,1.0128,1.0129,1.0128
2012-07-08 19:55:00,6A,5,1.0129,1.0126,1.0127,1.0129
2012-07-08 20:00:00,6A,5,1.013,1.0128,1.0128,1.013
2012-07-08 20:05:00,6A,5,1.0137,1.0129,1.0129,1.0137
2012-07-08 20:10:00,6A,5,1.014,1.0137,1.0137,1.0139
2012-07-08 20:15:00,6A,5,1.0142,1.0137,1.014,1.0141
2012-07-08 20:20:00,6A,5,1.0141,1.0135,1.0141,1.0135
2012-07-08 20:25:00,6A,5,1.0138,1.0133,1.0135,1.0138
2012-07-08 20:30:00,6A,5,1.0138,1.0135,1.0138,1.0135
2012-07-08 20:35:00,6A,5,1.0135,1.0131,1.0135,1.0131
2012-07-08 20:40:00,6A,5,1.0133,1.0129,1.0131,1.0131
2012-07-08 20:45:00,6A,5,1.0132,1.0129,1.0131,1.013
2012-07-08 20:50:00,6A,5,1.0139,1.0129,1.013,1.0139
2012-07-08 20:55:00,6A,5,1.0139,1.013,1.0139,1.0132
2012-07-08 21:00:00,6A,5,1.0135,1.013,1.0131,1.0134
2012-07-08 21:05:00,6A,5,1.0138,1.0134,1.0135,1.0135
2012-07-08 21:10:00,6A,5,1.0135,1.0132,1.0135,1.0133
2012-07-08 21:15:00,6A,5,1.0136,1.0133,1.0134,1.0135
2012-07-08 21:20:00,6A,5,1.0138,1.0134,1.0135,1.0135
2012-07-08 21:25:00,6A,5,1.0135,1.0133,1.0134,1.0134
2012-07-08 21:30:00,6A,5,1.014,1.013,1.0135,1.0132
2012-07-08 21:35:00,6A,5,1.0133,1.0117,1.0131,1.0121
2012-07-08 21:40:00,6A,5,1.013,1.0121,1.0121,1.0128
2012-07-08 21:45:00,6A,5,1.0131,1.0128,1.0128,1.0129
2012-07-08 21:50:00,6A,5,1.0141,1.0129,1.0129,1.014
2012-07-08 21:55:00,6A,5,1.0144,1.0137,1.014,1.0144
2012-07-08 22:00:00,6A,5,1.0144,1.014,1.0144,1.0143
2012-07-08 22:05:00,6A,5,1.0145,1.0139,1.0144,1.014
2012-07-08 22:10:00,6A,5,1.0144,1.014,1.014,1.0144
2012-07-08 22:15:00,6A,5,1.0144,1.0139,1.0143,1.0139
2012-07-08 22:20:00,6A,5,1.014,1.0137,1.0139,1.014
2012-07-08 22:25:00,6A,5,1.0143,1.014,1.014,1.0142
2012-07-08 22:30:00,6A,5,1.0141,1.0138,1.0141,1.0138
